loc.key,wthr.year,wthr.month,wthr.day,air.temp,wind.2m,rain.rate
Bavaria,198*,1,,2.2,4,0.0
Bavaria,198*,2,,2.5,4.4,0.0
Bavaria,198*,3,,2.4,3.8,0.0
Bavaria,198*,4,,5.9,3.3,0.0
Bavaria,198*,5,,11.1,3.2,0.0
Bavaria,198*,6,,13.9,2.4,0.0
Bavaria,198*,7,,15.6,2.9,0.0
Bavaria,198*,8,,14.6,3,0.0
Bavaria,198*,9,,12.7,3,0.0
Bavaria,198*,10,,9.4,3.5,0.0
Bavaria,198*,11,,4.8,3.1,0.0
Bavaria,198*,12,,3.4,3.7,0.0
Bavaria,199*,1,,1.5,3.9,0.0
Bavaria,199*,2,,1.7,4.1,0.0
Bavaria,199*,3,,3.5,3.9,0.0
Bavaria,199*,4,,6.7,3.5,0.0
Bavaria,199*,5,,10.8,3,0.0
Bavaria,199*,6,,13.7,2.9,0.0
Bavaria,199*,7,,16.3,2.7,0.0
Bavaria,199*,8,,16.6,2.7,0.0
Bavaria,199*,9,,12.8,2.9,0.0
Bavaria,199*,10,,8.6,3.2,0.0
Bavaria,199*,11,,4.3,3.3,0.0
Bavaria,199*,12,,1.7,3.5,0.0
Bavaria,200*,1,,1.9,3.8,0.0
Bavaria,200*,2,,1.7,3.4,0.0
Bavaria,200*,3,,3.1,3.5,0.0
Bavaria,200*,4,,7.6,3,0.0
Bavaria,200*,5,,11.6,2.9,0.0
Bavaria,200*,6,,14.3,2.9,0.0
Bavaria,200*,7,,16.8,2.6,0.0
Bavaria,200*,8,,16.9,2.6,0.0
Bavaria,200*,9,,13.7,2.9,0.0
Bavaria,200*,10,,9.4,3,0.0
Bavaria,200*,11,,6,3.4,0.0
Bavaria,200*,12,,2.8,3.2,0.0
Bavaria,201*,1,,1.1,3.6,0.0
Bavaria,201*,2,,1.2,3.6,0.0
Bavaria,201*,3,,4,3.5,0.0
Bavaria,201*,4,,7.6,3.4,0.0
Bavaria,201*,5,,11.5,3.1,0.0
Bavaria,201*,6,,14.6,2.9,0.0
Bavaria,201*,7,,16.9,2.7,0.0
Bavaria,201*,8,,16.4,2.7,0.0
Bavaria,201*,9,,13.7,3,0.0
Bavaria,201*,10,,9.7,3.1,0.0
Bavaria,201*,11,,5.6,3.2,0.0
Bavaria,201*,12,,3,3.7,0.0
